# Timestamp: 2021-12-07 16:50:02.658498
thread_id,poster_id,poster_name,poster_image,last_replier_id,last_replier_name,last_replier_image,last_replied_date,date_posted,title,is_locked,is_sticky,replies,views
393427,11254,calypso,/forum/data/avatars/s/11/11254.jpg?1547847093,11254,calypso,/forum/data/avatars/s/11/11254.jpg?1547847093,2021-07-14 13:25:15+00:00,2021-07-14 13:25:15+00:00,Myths about covid 19 and how vaccines work,True,True,0,605
275281,17334,AliceinWonderland,/forum/data/avatars/s/17/17334.jpg?1548065332,17334,AliceinWonderland,/forum/data/avatars/s/17/17334.jpg?1548065332,2020-05-16 18:12:54+00:00,2020-04-09 07:39:19+00:00,Coping with your Mental Health during the Covid-19 Pandemic,True,True,16,2000
277009,7,daffy,/forum/data/avatars/s/0/7.jpg?1547847093,7,daffy,/forum/data/avatars/s/0/7.jpg?1547847093,2020-04-13 17:19:16+00:00,2020-04-13 17:19:16+00:00,Useful numbers for domestic violence /abuse.,True,True,0,572
270075,1,mischief,/forum/data/avatars/s/0/1.jpg?1547940451,1,mischief,/forum/data/avatars/s/0/1.jpg?1547940451,2020-03-22 19:48:37+00:00,2020-03-22 19:48:37+00:00,Together we can slow the spread,True,True,0,593
270070,1,mischief,/forum/data/avatars/s/0/1.jpg?1547940451,1,mischief,/forum/data/avatars/s/0/1.jpg?1547940451,2020-03-22 19:06:02+00:00,2020-03-22 19:06:02+00:00,Useful Authoritative Information Sources on the Coronavirus - Covid-19 Pandemic,True,True,0,557
269472,1,mischief,/forum/data/avatars/s/0/1.jpg?1547940451,1,mischief,/forum/data/avatars/s/0/1.jpg?1547940451,2020-03-20 18:14:35+00:00,2020-03-20 18:14:35+00:00,Welcome to our Coronavirus - Covid-19 & Mental Health section,True,True,0,635
432806,37189,natalie,,107541,Shell Dockley,/forum/data/avatars/s/107/107541.jpg?1634144669,2021-12-07 18:31:18+00:00,2021-11-16 13:13:17+00:00,Unvaccinated,False,False,63,1000
433747,108911,CyclingMiles,/forum/data/avatars/s/108/108911.jpg?1637289126,42583,stevie_sloth,/forum/data/avatars/s/42/42583.jpg?1631002902,2021-12-07 13:10:07+00:00,2021-11-19 04:28:57+00:00,Parosmia After COVID,False,False,4,85
440200,109629,Babygirl65,,109629,Babygirl65,,2021-12-07 02:29:02+00:00,2021-12-07 01:59:03+00:00,Advice and help,False,False,2,59
437648,18243,midnightphoenix,/forum/data/avatars/s/18/18243.jpg?1588324691,91381,turnitoffandonagain_again,,2021-12-05 01:54:22+00:00,2021-11-29 23:46:37+00:00,New rules,False,False,7,138
439135,37189,natalie,,104545,LoqLamp,/forum/data/avatars/s/104/104545.jpg?1627340757,2021-12-04 13:00:23+00:00,2021-12-04 12:05:29+00:00,Irate,False,False,4,63
274234,89443,Shell2020,,109469,Norseforce01,,2021-12-02 17:25:58+00:00,2020-04-06 00:04:04+00:00,Lump in throat very anxious,False,False,10,311
438345,37189,natalie,,108825,chargrillwon,,2021-12-02 02:33:00+00:00,2021-12-01 23:06:38+00:00,Promising Non Lockdown not yet,False,False,1,138
437836,108146,Ele123,,101600,bebernipes,,2021-12-02 00:43:45+00:00,2021-11-30 15:23:54+00:00,Masks,False,False,18,316
334856,37189,natalie,,37189,natalie,,2021-12-01 20:18:25+00:00,2020-11-26 23:15:50+00:00,"Plan to Revise Fitness Plans, after Lockdown, hopefully, then reversed back into  Tiers method",False,False,92,2000
438165,36511,Jigglypuff Fan,,108825,chargrillwon,,2021-12-01 18:02:31+00:00,2021-12-01 11:07:14+00:00,So Markus Lamb died....,False,False,4,216
438030,105268,Siegfried,,105268,Siegfried,,2021-12-01 01:48:59+00:00,2021-12-01 01:48:59+00:00,Finally got my elderly mother to get vaccinated.,False,False,0,56
436373,107473,bariskinn,,102401,LearntheEssentials,/forum/data/avatars/s/102/102401.jpg?1622059513,2021-11-30 12:26:25+00:00,2021-11-26 15:55:27+00:00,How long does Covid vaccine arm pain last?,False,False,13,153
436952,21168,Marmalade,/forum/data/avatars/s/21/21168.jpg?1637854974,105281,Anxietyhell,,2021-11-29 20:28:15+00:00,2021-11-28 01:00:04+00:00,The Omicron mutation,False,False,29,340
437261,108146,Ele123,,107965,Maitri,/forum/data/avatars/s/107/107965.jpg?1635099866,2021-11-29 12:22:11+00:00,2021-11-28 21:13:54+00:00,Masks,False,False,21,214
437300,37189,natalie,,37189,natalie,,2021-11-28 23:24:19+00:00,2021-11-28 23:24:19+00:00,Not Working From Home!!,False,False,0,58
437265,95831,fer1,,95831,fer1,,2021-11-28 22:28:40+00:00,2021-11-28 21:27:27+00:00,I need some help / advice,False,False,5,56
436047,109174,justonequestion,,95831,fer1,,2021-11-28 21:31:22+00:00,2021-11-25 17:27:01+00:00,Lithium and Covid-19,False,False,2,88
431462,89473,manicmonday,/forum/data/avatars/s/89/89473.jpg?1593700691,109085,Vandal_Moon,/forum/data/avatars/s/109/109085.jpg?1637864556,2021-11-28 20:45:40+00:00,2021-11-12 11:20:57+00:00,Booster jabs,False,False,45,663
436214,105268,Siegfried,,21168,Marmalade,/forum/data/avatars/s/21/21168.jpg?1637854974,2021-11-27 21:38:54+00:00,2021-11-26 01:20:50+00:00,Most heavily mutated Covid variant so far detected in South Africa.,False,False,15,240
435947,109162,Louise811,,42583,stevie_sloth,/forum/data/avatars/s/42/42583.jpg?1631002902,2021-11-25 10:14:42+00:00,2021-11-25 09:36:06+00:00,Terrified of second vacine,False,False,1,68
429225,37189,natalie,,37189,natalie,,2021-11-23 22:39:56+00:00,2021-11-05 19:37:58+00:00,R rate of infection,False,False,3,83
431450,15081,Geeky,,88205,Alexander Ypsilantis,,2021-11-23 00:40:58+00:00,2021-11-12 10:27:31+00:00,Wife has positive LFT... Daughter is upset,False,False,4,134
433644,107146,mike4626,,107146,mike4626,,2021-11-22 22:40:40+00:00,2021-11-18 21:33:56+00:00,anyone have spiked anxiety after getting vaccine?,False,False,8,113
434654,37189,natalie,,37189,natalie,,2021-11-21 22:24:34+00:00,2021-11-21 19:55:51+00:00,Plan B,False,False,2,67
434259,107566,euhidajat9919,/forum/data/avatars/s/107/107566.jpg?1637479014,107566,euhidajat9919,/forum/data/avatars/s/107/107566.jpg?1637479014,2021-11-21 09:25:22+00:00,2021-11-20 17:00:10+00:00,Worst nightmare comes out,False,False,12,119
434343,88205,Alexander Ypsilantis,,88205,Alexander Ypsilantis,,2021-11-21 07:12:49+00:00,2021-11-20 21:15:41+00:00,Anyone actually have a test-confirmed case of COVID19?,False,False,9,112
433814,108146,Ele123,,100567,fragrant_violet,/forum/data/avatars/s/100/100567.jpg?1631514088,2021-11-20 09:55:38+00:00,2021-11-19 13:54:02+00:00,Austria is making vaccines mandatory,False,False,33,432
432900,108814,JJ1919,/forum/data/avatars/s/108/108814.jpg?1637081090,91381,turnitoffandonagain_again,,2021-11-18 05:15:09+00:00,2021-11-16 18:41:22+00:00,Not being able to get the Covid vaccine and the fear of being left behind,False,False,7,122
431022,107473,bariskinn,,70362,Mary26,,2021-11-12 15:59:58+00:00,2021-11-10 23:46:26+00:00,How do we know the best Covid vaccine?,False,False,8,138
431475,108638,jacko5,,42583,stevie_sloth,/forum/data/avatars/s/42/42583.jpg?1631002902,2021-11-12 14:35:19+00:00,2021-11-12 12:06:33+00:00,Traumatised watching my child with covid,False,False,3,99
431358,107473,bariskinn,,54014,SoftRain,/forum/data/avatars/s/54/54014.jpg?1631282943,2021-11-11 23:50:05+00:00,2021-11-11 23:11:08+00:00,Is the recent COVID 19 vaccine for kids in the US good or bad?,False,False,1,51
364637,88816,SicklyBloom,,88205,Alexander Ypsilantis,,2021-11-11 03:31:25+00:00,2021-03-21 18:47:42+00:00,I Feel Uneasy about the Covid Vaccine (Unpopular Opinion),False,False,9,529
373163,100266,Amelia2020,/forum/data/avatars/s/100/100266.jpg?1616245029,107473,bariskinn,,2021-11-09 18:46:30+00:00,2021-04-25 15:44:35+00:00,Should i take the Covid-19 vaccine,False,False,361,9000
391694,37189,natalie,,37189,natalie,,2021-11-04 22:34:40+00:00,2021-07-07 11:02:46+00:00,Lockdown Number 4??!,False,False,28,542
423620,101628,carlita,/forum/data/avatars/s/101/101628.jpg?1635062452,18243,midnightphoenix,/forum/data/avatars/s/18/18243.jpg?1588324691,2021-11-04 17:28:25+00:00,2021-10-20 14:41:24+00:00,They're forcing us to vax,False,False,246,3000
414527,106906,Lilly776,/forum/data/avatars/s/106/106906.jpg?1632579428,107473,bariskinn,,2021-10-28 22:20:13+00:00,2021-09-25 15:04:55+00:00,Covid-19,False,False,8,145
424600,89514,Luke123123,,89514,Luke123123,,2021-10-23 15:27:34+00:00,2021-10-23 14:10:46+00:00,Covid in household,False,False,2,66
420193,0,Annie 1234,,104322,NoNameRequired,/forum/data/avatars/s/104/104322.jpg?1632168887,2021-10-22 04:30:33+00:00,2021-10-10 01:40:37+00:00,How I feel about Covid 19,False,False,10,220
403833,93070,jajingna,/forum/data/avatars/s/93/93070.jpg?1596458252,89614,Shay94,,2021-10-21 14:44:33+00:00,2021-08-19 18:01:31+00:00,Got my first shot,False,False,13,362
421342,42583,stevie_sloth,/forum/data/avatars/s/42/42583.jpg?1631002902,42583,stevie_sloth,/forum/data/avatars/s/42/42583.jpg?1631002902,2021-10-21 07:57:33+00:00,2021-10-13 10:02:33+00:00,Fearful of some people with extremely different attitudes,False,False,29,290
423441,107473,bariskinn,,74045,Aurelius,,2021-10-19 23:48:23+00:00,2021-10-19 23:46:25+00:00,Little-dose of moderna COVID-19 vaccine rouses a big immune response,False,False,1,55
422018,105864,car10002,,107676,Rizzano,,2021-10-16 19:11:47+00:00,2021-10-15 12:40:28+00:00,finding a girl and friends during coronavirus restrictions,False,False,1,80
418174,0,Kayaker,,102401,LearntheEssentials,/forum/data/avatars/s/102/102401.jpg?1622059513,2021-10-15 18:19:55+00:00,2021-10-04 16:02:50+00:00,I'm going to the hospital see what I can do about my covid.,False,False,11,153
413435,80447,Kenza,,107473,bariskinn,,2021-10-15 16:43:38+00:00,2021-09-22 06:24:12+00:00,I think I have covid,False,False,15,289
420227,107426,Bbris,,107566,euhidajat9919,/forum/data/avatars/s/107/107566.jpg?1637479014,2021-10-13 15:45:39+00:00,2021-10-10 07:28:38+00:00,Mental health issue of my daughter.,False,False,5,98
408380,79,ramboghettouk,,107473,bariskinn,,2021-10-12 19:23:11+00:00,2021-09-04 15:13:53+00:00,COVID test,False,False,8,238
389187,79611,frisas45,/forum/data/avatars/s/79/79611.jpg?1634704738,42583,stevie_sloth,/forum/data/avatars/s/42/42583.jpg?1631002902,2021-10-12 16:04:47+00:00,2021-06-27 06:18:02+00:00,I feel like humanity has come to an end.,False,False,52,1000
410808,18243,midnightphoenix,/forum/data/avatars/s/18/18243.jpg?1588324691,96866,MrGammaDelta,,2021-10-09 10:12:09+00:00,2021-09-13 16:18:33+00:00,is this true? (UK),False,False,3,173
406989,63744,wickedbiscuits,/forum/data/avatars/s/63/63744.jpg?1547847093,105530,Bhonest,/forum/data/avatars/s/105/105530.jpg?1630877103,2021-10-08 23:33:12+00:00,2021-08-30 17:48:08+00:00,Struggling to rebuild *after* the pandemic,False,False,6,175
417915,37189,natalie,,37189,natalie,,2021-10-06 23:25:48+00:00,2021-10-03 23:51:01+00:00,Thursday 7th October - Community Centre visit,False,False,5,94
418660,18243,midnightphoenix,/forum/data/avatars/s/18/18243.jpg?1588324691,104721,calmleaves,/forum/data/avatars/s/104/104721.jpg?1631898220,2021-10-06 04:59:15+00:00,2021-10-05 17:42:14+00:00,Covid19 helpful link,False,False,1,60
416538,42583,stevie_sloth,/forum/data/avatars/s/42/42583.jpg?1631002902,101210,my_lovely_username,,2021-10-06 00:09:49+00:00,2021-09-30 19:49:55+00:00,I can't deal with this anymore,False,False,4,111
417253,107148,FearfulLady,,24209,Mayflower7,/forum/data/avatars/s/24/24209.jpg?1547990257,2021-10-05 00:22:52+00:00,2021-10-02 17:38:16+00:00,New Here - Vaccine Fears,False,False,27,318
417410,0,Kayaker,,61974,R_Sxo,/forum/data/avatars/s/61/61974.jpg?1569359670,2021-10-03 01:25:08+00:00,2021-10-02 23:56:33+00:00,"Question about covid, vaccine and depression",False,False,1,86
417149,77139,Tombomb,,77139,Tombomb,,2021-10-03 01:08:22+00:00,2021-10-02 07:51:38+00:00,Corona vaccination,False,False,5,77
414953,106879,verypatient,,106879,verypatient,,2021-10-01 15:27:47+00:00,2021-09-26 19:54:21+00:00,A timely comparison,False,False,5,109
416617,95879,MrBond007,/forum/data/avatars/s/95/95879.jpg?1610333747,24991,Fairy Lucretia,/forum/data/avatars/s/24/24991.jpg?1615492390,2021-09-30 22:11:42+00:00,2021-09-30 22:08:46+00:00,Feeling sick straight after vaccination?,False,False,1,73
406055,102401,LearntheEssentials,/forum/data/avatars/s/102/102401.jpg?1622059513,42583,stevie_sloth,/forum/data/avatars/s/42/42583.jpg?1631002902,2021-09-29 16:50:55+00:00,2021-08-28 01:23:59+00:00,Getting the Jab,False,False,28,605
413047,37189,natalie,,37189,natalie,,2021-09-27 22:30:10+00:00,2021-09-20 23:37:59+00:00,"Out for day partially - Thursday 23rd September, from 10.15am",False,False,6,112
412566,106643,Loveyourself123,,106643,Loveyourself123,,2021-09-19 15:15:25+00:00,2021-09-19 14:48:56+00:00,Eating disorder after recovering from corona virus,False,False,2,84
404620,78313,TooMuchPain,/forum/data/avatars/s/78/78313.jpg?1621543441,98655,MeAndMyDepression,/forum/data/avatars/s/98/98655.jpg?1616981203,2021-09-16 02:09:49+00:00,2021-08-22 13:33:34+00:00,Up to date COVID information,False,False,2,169
410620,37189,natalie,,37189,natalie,,2021-09-14 12:30:48+00:00,2021-09-12 20:33:17+00:00,"Draconian laws, Next Winter, (one forthcoming)",False,False,4,117
405536,67693,brightyellow,,67693,brightyellow,,2021-09-14 07:13:43+00:00,2021-08-26 01:36:02+00:00,That's it! I'm done!,False,False,16,350
410361,104953,SadRainbow,,105953,LouieLou,,2021-09-13 21:30:46+00:00,2021-09-11 17:28:41+00:00,Covid ruined my life.,False,False,7,202
